"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0009966",9.61223649643107e-07,1.98879062114356,50.8654353562005,83,1071,"regulation of signal transduction"
"2","GO:1902531",4.260849680511e-06,2.10055333817126,32.3905013192612,58,682,"regulation of intracellular signal transduction"
"3","GO:0010646",1.03572596883651e-05,1.82927286356822,56.4221635883905,86,1188,"regulation of cell communication"
"4","GO:0023051",1.85724444111803e-05,1.79822926374651,56.3746701846966,85,1187,"regulation of signaling"
"5","GO:0007166",2.60742512323862e-05,1.7581317764804,61.2189973614776,90,1289,"cell surface receptor signaling pathway"
"6","GO:0065007",3.45276620309931e-05,1.81788879935536,187.076517150396,216,3939,"biological regulation"
"7","GO:0016477",3.56096864295512e-05,2.09449152542373,24.5540897097625,45,517,"cell migration"
"8","GO:0009967",3.73948237499701e-05,2.07334967798595,25.3614775725594,46,534,"positive regulation of signal transduction"
"9","GO:0051707",3.83670817518929e-05,2.36570082846209,15.8627968337731,33,334,"response to other organism"
"10","GO:0035556",4.23438779005985e-05,1.77360622545812,52.3852242744063,79,1103,"intracellular signal transduction"
"11","GO:0098542",4.61821165547684e-05,2.98067437535376,8.07387862796834,21,170,"defense response to other organism"
"12","GO:0010647",5.14633613601758e-05,2.02703772091796,26.4538258575198,47,557,"positive regulation of cell communication"
"13","GO:0023056",5.14633613601758e-05,2.02703772091796,26.4538258575198,47,557,"positive regulation of signaling"
"14","GO:0048870",5.18791240205123e-05,2.04112554112554,25.6939313984169,46,541,"cell motility"
"15","GO:0007229",5.37034624569435e-05,5.59043659043659,2.23218997361478,10,47,"integrin-mediated signaling pathway"
"16","GO:0043207",5.49489462802408e-05,2.31674432029027,16.1477572559367,33,340,"response to external biotic stimulus"
"17","GO:0050790",5.87583642264631e-05,1.80571132775429,44.3588390501319,69,934,"regulation of catalytic activity"
"18","GO:0007165",6.10161388332978e-05,1.63119533527697,104.153034300792,135,2193,"signal transduction"
"19","GO:0065009",7.35055485172172e-05,1.73788795509755,53.1926121372032,79,1120,"regulation of molecular function"
"20","GO:0050794",8.08906463173969e-05,1.68588025022341,168.839050131926,198,3555,"regulation of cellular process"
"21","GO:0033688",8.49834348527625e-05,17.0094339622642,0.522427440633245,5,11,"regulation of osteoblast proliferation"
